segment_id,section,Pi_before,Pi_after,Delta_Pi,Gate4_after
Q-01,Question,0.5,0.421,0.079,No
Q-02,Question,0.5,0.421,0.079,No
C-01,Columnist,0.5,0.421,0.079,No
C-02,Columnist,0.5,0.421,0.079,No
C-03,Columnist,0.5,0.421,0.079,No
C-04,Columnist,0.567,0.488,0.079,No
C-05,Columnist,0.444,0.365,0.079,No
C-06,Columnist,0.444,0.365,0.079,No
C-07,Columnist,0.458,0.379,0.079,No
C-08,Columnist,0.462,0.383,0.079,No
C-09,Columnist,0.586,0.507,0.079,No
C-10,Columnist,0.5,0.421,0.079,No
C-11,Columnist,0.438,0.358,0.079,No
C-12,Columnist,0.438,0.358,0.079,No
C-13,Columnist,0.269,0.19,0.079,Yes
C-14,Columnist,0.592,0.513,0.079,No
C-15,Columnist,0.357,0.278,0.079,Yes
C-16,Columnist,0.438,0.358,0.079,No
