segment_id,section,Pi_before,Pi_after,Delta_Pi,Gate4_after
Q-01,Question,0.5,0.405,0.095,No
Q-02,Question,0.5,0.407,0.093,No
C-01,Columnist,0.5,0.41,0.09,No
C-02,Columnist,0.5,0.413,0.087,No
C-03,Columnist,0.5,0.426,0.074,No
C-04,Columnist,0.567,0.447,0.12,No
C-05,Columnist,0.444,0.371,0.073,No
C-06,Columnist,0.444,0.372,0.072,No
C-07,Columnist,0.458,0.384,0.074,No
C-08,Columnist,0.462,0.388,0.074,No
C-09,Columnist,0.586,0.447,0.139,No
C-10,Columnist,0.5,0.415,0.085,No
C-11,Columnist,0.438,0.368,0.07,No
C-12,Columnist,0.438,0.373,0.065,No
C-13,Columnist,0.372,0.356,0.016,No
C-14,Columnist,0.592,0.463,0.129,No
C-15,Columnist,0.357,0.351,0.006,No
C-16,Columnist,0.438,0.378,0.06,No
