segment_id,author,Pi_before,Pi_after,Delta_Pi,Gate4_after
S-01,Lead,0.5,0.416,0.084,No
S-02,Lead,0.537,0.454,0.084,No
S-03,"Enter the platform with purpose, go directly to the content you need and exit promptly. This kind of deliberate, minimal engagement reduces Meta’s ability to monetize your attention, especially through ad impressions and data harvesting. It may seem small, but this behavior contributes to collective resistance. It demonstrates that our values matter — not just in word but in how we interact with the systems around us. — Shawnna",0.486,0.408,0.078,No
S-04,"I have decided to stay on Facebook, to post my (strong) views regularly, in a way that’s honest yet respectful, and to post news articles that are worth reading. I have both Republican and Democratic friends, and they respect my right to speak out on issues that are important to me. I think that resigning and retreating from the public sphere just gives hate and fascism more room to flourish. — Dian",0.486,0.408,0.078,No
S-05,"The Ethicist suggests that leaving Facebook will have no effect unless it is part of a larger movement. Well, where exactly does he think such a movement starts? Write your fellow group members to suggest that you sign up to a less toxic provider. I’m here to tell you that the pleasure of reading, connecting, sharing media and planning events is not Facebook’s property. You shouldn’t be, either. — Shayna",0.5,0.416,0.084,No
S-06,"All large movements start with one person. If you think the world is a better place having Zuckerbergs, Musks and Bezoses in it, then keep on supporting them. If you don’t like the direction the world is going in because of Facebook, X and Amazon, then don’t support them. Leaving Facebook, X and Amazon was one of the best things I have done for my mental health. It’s easier than you think. The world can be a better place, and that starts one person at a time. — Teresa",0.59,0.506,0.084,No
S-07,"I disagree that anyone should feel there is any level of social sacrifice to be made by deleting a social media account. As a former social media addict, I can attest to the benefit of cutting that cord. Almost immediately I found myself being more intentional about fostering relationships in the nondigital world. While I agree that the political and moral misgivings of supporting such a company are valid, the most compelling reason to wean yourself off Meta’s products is precisely the reason the inquirer is using to justify staying. Being rid of socials allows you to form more genuine connections and prioritize those who mean the most to you in real life. — Clay",0.497,0.415,0.083,No
S-08,"Enter the platform with purpose, go directly to the content you need and exit promptly. This kind of deliberate, minimal engagement reduces Meta’s ability to monetize your attention, especially through ad impressions and data harvesting. It may seem small, but this behavior contributes to collective resistance. It demonstrates that our values matter — not just in word but in how we interact with the systems around us. — Shawnna",0.5,0.416,0.084,No
S-09,"I have decided to stay on Facebook, to post my (strong) views regularly, in a way that’s honest yet respectful, and to post news articles that are worth reading. I have both Republican and Democratic friends, and they respect my right to speak out on issues that are important to me. I think that resigning and retreating from the public sphere just gives hate and fascism more room to flourish. — Dian",0.506,0.423,0.084,No
S-10,"The Ethicist suggests that leaving Facebook will have no effect unless it is part of a larger movement. Well, where exactly does he think such a movement starts? Write your fellow group members to suggest that you sign up to a less toxic provider. I’m here to tell you that the pleasure of reading, connecting, sharing media and planning events is not Facebook’s property. You shouldn’t be, either. — Shayna",0.5,0.416,0.084,No
S-11,"All large movements start with one person. If you think the world is a better place having Zuckerbergs, Musks and Bezoses in it, then keep on supporting them. If you don’t like the direction the world is going in because of Facebook, X and Amazon, then don’t support them. Leaving Facebook, X and Amazon was one of the best things I have done for my mental health. It’s easier than you think. The world can be a better place, and that starts one person at a time. — Teresa",0.506,0.422,0.084,No
S-12,"I disagree that anyone should feel there is any level of social sacrifice to be made by deleting a social media account. As a former social media addict, I can attest to the benefit of cutting that cord. Almost immediately I found myself being more intentional about fostering relationships in the nondigital world. While I agree that the political and moral misgivings of supporting such a company are valid, the most compelling reason to wean yourself off Meta’s products is precisely the reason the inquirer is using to justify staying. Being rid of socials allows you to form more genuine connections and prioritize those who mean the most to you in real life. — Clay",0.475,0.391,0.084,No
S-13,"Enter the platform with purpose, go directly to the content you need and exit promptly. This kind of deliberate, minimal engagement reduces Meta’s ability to monetize your attention, especially through ad impressions and data harvesting. It may seem small, but this behavior contributes to collective resistance. It demonstrates that our values matter — not just in word but in how we interact with the systems around us. — Shawnna",0.475,0.391,0.084,No
S-14,"I have decided to stay on Facebook, to post my (strong) views regularly, in a way that’s honest yet respectful, and to post news articles that are worth reading. I have both Republican and Democratic friends, and they respect my right to speak out on issues that are important to me. I think that resigning and retreating from the public sphere just gives hate and fascism more room to flourish. — Dian",0.46,0.379,0.081,No
S-15,"The Ethicist suggests that leaving Facebook will have no effect unless it is part of a larger movement. Well, where exactly does he think such a movement starts? Write your fellow group members to suggest that you sign up to a less toxic provider. I’m here to tell you that the pleasure of reading, connecting, sharing media and planning events is not Facebook’s property. You shouldn’t be, either. — Shayna",0.5,0.416,0.084,No
S-16,"All large movements start with one person. If you think the world is a better place having Zuckerbergs, Musks and Bezoses in it, then keep on supporting them. If you don’t like the direction the world is going in because of Facebook, X and Amazon, then don’t support them. Leaving Facebook, X and Amazon was one of the best things I have done for my mental health. It’s easier than you think. The world can be a better place, and that starts one person at a time. — Teresa",0.5,0.416,0.084,No
S-17,"I disagree that anyone should feel there is any level of social sacrifice to be made by deleting a social media account. As a former social media addict, I can attest to the benefit of cutting that cord. Almost immediately I found myself being more intentional about fostering relationships in the nondigital world. While I agree that the political and moral misgivings of supporting such a company are valid, the most compelling reason to wean yourself off Meta’s products is precisely the reason the inquirer is using to justify staying. Being rid of socials allows you to form more genuine connections and prioritize those who mean the most to you in real life. — Clay",0.484,0.4,0.084,No
S-18,"Enter the platform with purpose, go directly to the content you need and exit promptly. This kind of deliberate, minimal engagement reduces Meta’s ability to monetize your attention, especially through ad impressions and data harvesting. It may seem small, but this behavior contributes to collective resistance. It demonstrates that our values matter — not just in word but in how we interact with the systems around us. — Shawnna",0.45,0.366,0.084,No
